Date,Time,.SS,InverterMotorCurrent,InverterMotorPower,InverterMotorTorque,InverterMotorTemp,Drive_SpeedSensorShaftToBasket
3/5/2026,10:41:09:.461,0.461,0,0,443,29,0
3/5/2026,10:41:09:.663,0.663,0,0,443,29,0
3/5/2026,10:41:09:.782,0.782,0,0,443,29,0
3/5/2026,10:41:09:.896,0.896,0,0,443,29,0
3/5/2026,10:41:10:.008,0.008,0,0,443,29,0
3/5/2026,10:41:10:.124,0.124,0,0,443,29,0
3/5/2026,10:41:10:.236,0.236,0,0,443,29,0
3/5/2026,10:41:10:.350,0.35,0,0,443,29,0
3/5/2026,10:41:10:.477,0.477,0,0,443,29,0
3/5/2026,10:41:10:.588,0.588,0,0,443,29,0
3/5/2026,10:41:10:.772,0.772,0,0,443,29,0
3/5/2026,10:41:10:.889,0.889,0,0,443,29,0
3/5/2026,10:41:11:.003,0.003,0,0,443,29,0
3/5/2026,10:41:11:.121,0.121,0,0,443,29,0
3/5/2026,10:41:11:.238,0.238,0,0,443,29,0
3/5/2026,10:41:11:.430,0.43,0,0,443,29,0
3/5/2026,10:41:11:.544,0.544,0,0,443,29,0
3/5/2026,10:41:11:.657,0.657,0,0,443,29,0
3/5/2026,10:41:11:.770,0.77,0,0,443,29,0
3/5/2026,10:41:11:.886,0.886,0,0,443,29,0
3/5/2026,10:41:12:.002,0.002,0,0,443,29,0
3/5/2026,10:41:12:.117,0.117,0,0,443,29,0
3/5/2026,10:41:12:.230,0.23,0,0,443,29,0
3/5/2026,10:41:12:.344,0.344,0,0,443,29,0
3/5/2026,10:41:12:.487,0.487,0,0,443,29,0
3/5/2026,10:41:12:.652,0.652,0,0,443,29,0
3/5/2026,10:41:12:.765,0.765,0,0,443,29,0
3/5/2026,10:41:12:.883,0.883,0,0,443,29,0
3/5/2026,10:41:13:.002,0.002,0,0,443,29,0
3/5/2026,10:41:13:.166,0.166,0,0,443,29,0
3/5/2026,10:41:13:.280,0.28,0,0,443,29,0
3/5/2026,10:41:13:.391,0.391,0,0,443,29,0
3/5/2026,10:41:13:.573,0.573,0,0,443,29,0
3/5/2026,10:41:13:.691,0.691,0,0,443,29,0
3/5/2026,10:41:13:.850,0.85,0,0,443,29,0
3/5/2026,10:41:13:.964,0.964,0,0,443,29,0
3/5/2026,10:41:14:.078,0.078,0,0,443,29,0
3/5/2026,10:41:14:.260,0.26,0,0,443,29,0
3/5/2026,10:41:14:.374,0.374,0,0,443,29,0
3/5/2026,10:41:14:.492,0.492,0,0,443,29,0
3/5/2026,10:41:14:.672,0.672,0,0,443,29,0
3/5/2026,10:41:14:.810,0.81,0,0,443,29,0
3/5/2026,10:41:14:.924,0.924,0,0,443,29,0
3/5/2026,10:41:15:.102,0.102,0,0,443,29,0
3/5/2026,10:41:15:.256,0.256,0,0,443,29,0
3/5/2026,10:41:15:.373,0.373,0,0,443,29,0
3/5/2026,10:41:15:.487,0.487,0,0,443,29,0
3/5/2026,10:41:15:.668,0.668,0,0,443,29,0
3/5/2026,10:41:15:.781,0.781,0,0,443,29,0
3/5/2026,10:41:15:.897,0.897,0,0,443,29,0
3/5/2026,10:41:16:.012,0.012,0,0,443,29,0
3/5/2026,10:41:16:.127,0.127,0,0,443,29,0
3/5/2026,10:41:16:.239,0.239,0,0,443,29,0
3/5/2026,10:41:16:.362,0.362,0,0,443,29,0
3/5/2026,10:41:16:.475,0.475,0,0,443,29,0
3/5/2026,10:41:16:.594,0.594,0,0,443,29,0
3/5/2026,10:41:16:.707,0.707,0,0,443,29,0
3/5/2026,10:41:16:.829,0.829,0,0,443,29,0
3/5/2026,10:41:17:.008,0.008,0,0,443,29,0
